date,id,id_attraction,visitor_count,ec_value,cycle_attraction_max,duty_cycle_max,capacite salle,capacite file d'attente,capacite pre-salle,is_weekend,is_open,type_frequentation,temperature,humidite,rayonnement_solaire,temp_moy,humidite_moy,hour,min,day,month,year,week
2025-01-01 00:00:00,1,H03,0,2.2999999999883585,6.0,0.4,84,750,252,0,1,HF,1.8,94.08705,0.0,3.2833335,87.733055,0,0,1,1,2025,1
2025-01-01 01:00:00,2,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,1.65,93.40438,0.0,3.2833335,87.733055,1,0,1,1,2025,1
2025-01-01 02:00:00,3,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,2.05,93.42521,0.0,3.2833335,87.733055,2,0,1,1,2025,1
2025-01-01 03:00:00,4,H03,0,9.440000000005238,6.0,0.4,84,750,252,0,1,HF,1.85,94.428314,0.0,3.2833335,87.733055,3,0,1,1,2025,1
2025-01-01 04:00:00,5,H03,0,3.680000000007567,6.0,0.4,84,750,252,0,1,HF,1.6,93.73918,0.0,3.2833335,87.733055,4,0,1,1,2025,1
2025-01-01 05:00:00,6,H03,0,3.8299999999871934,6.0,0.4,84,750,252,0,1,HF,0.75,95.41132,0.0,3.2833335,87.733055,5,0,1,1,2025,1
2025-01-01 06:00:00,7,H03,0,44.97000000001572,6.0,0.4,84,750,252,0,1,HF,0.25,96.439,0.0,3.2833335,87.733055,6,0,1,1,2025,1
2025-01-01 07:00:00,8,H03,0,165.670000000007,6.0,0.4,84,750,252,0,1,HF,0.2,97.1409,0.0,3.2833335,87.733055,7,0,1,1,2025,1
2025-01-01 08:00:00,9,H03,0,149.23999999997903,6.0,0.4,84,750,252,0,1,HF,-0.15,98.916115,0.0,3.2833335,87.733055,8,0,1,1,2025,1
2025-01-01 09:00:00,10,H03,211,133.54000000000525,6.0,0.4,84,750,252,0,1,HF,-0.05,97.84442,1.0,3.2833335,87.733055,9,0,1,1,2025,1
2025-01-01 10:00:00,11,H03,516,117.76999999999536,6.0,0.4,84,750,252,0,1,HF,0.9,94.386,38.0,3.2833335,87.733055,10,0,1,1,2025,1
2025-01-01 11:00:00,12,H03,496,105.26000000000349,6.0,0.4,84,750,252,0,1,HF,2.7,87.29953,123.0,3.2833335,87.733055,11,0,1,1,2025,1
2025-01-01 12:00:00,13,H03,471,91.43000000000468,6.0,0.4,84,750,252,0,1,HF,4.55,81.169876,258.0,3.2833335,87.733055,12,0,1,1,2025,1
2025-01-01 13:00:00,14,H03,508,59.05999999999185,6.0,0.4,84,750,252,0,1,HF,6.0,76.33169,326.0,3.2833335,87.733055,13,0,1,1,2025,1
2025-01-01 14:00:00,15,H03,492,22.68000000001921,6.0,0.4,84,750,252,0,1,HF,5.8,78.78381,327.0,3.2833335,87.733055,14,0,1,1,2025,1
2025-01-01 15:00:00,16,H03,452,22.589999999984865,6.0,0.4,84,750,252,0,1,HF,6.2,76.63707,281.0,3.2833335,87.733055,15,0,1,1,2025,1
2025-01-01 16:00:00,17,H03,459,31.2899999999936,6.0,0.4,84,750,252,0,1,HF,5.95,79.08689,177.0,3.2833335,87.733055,16,0,1,1,2025,1
2025-01-01 17:00:00,18,H03,405,31.50454545456662,6.0,0.4,84,750,252,0,1,HF,5.35,82.44273,62.0,3.2833335,87.733055,17,0,1,1,2025,1
2025-01-01 18:00:00,19,H03,378,31.485454545435708,6.0,0.4,84,750,252,0,1,HF,4.85,85.66438,2.0,3.2833335,87.733055,18,0,1,1,2025,1
2025-01-01 19:00:00,20,H03,278,32.22000000000698,6.0,0.4,84,750,252,0,1,HF,4.8,86.269035,0.0,3.2833335,87.733055,19,0,1,1,2025,1
2025-01-01 20:00:00,21,H03,197,32.04000000000815,6.0,0.4,84,750,252,0,1,HF,4.95,84.16828,0.0,3.2833335,87.733055,20,0,1,1,2025,1
2025-01-01 21:00:00,22,H03,49,30.94000000000233,6.0,0.4,84,750,252,0,1,HF,5.45,80.14522,0.0,3.2833335,87.733055,21,0,1,1,2025,1
2025-01-01 22:00:00,23,H03,0,34.55999999998021,6.0,0.4,84,750,252,0,1,HF,5.6,79.316055,0.0,3.2833335,87.733055,22,0,1,1,2025,1
2025-01-01 23:00:00,24,H03,0,41.20000000002328,6.0,0.4,84,750,252,0,1,HF,5.75,79.05685,0.0,3.2833335,87.733055,23,0,1,1,2025,1
2025-01-02 00:00:00,25,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,6.1,78.82936,0.0,6.883333,90.01523,0,0,2,1,2025,1
2025-01-02 01:00:00,26,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,6.5,78.61141,0.0,6.883333,90.01523,1,0,2,1,2025,1
2025-01-02 02:00:00,27,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,7.9,76.91503,0.0,6.883333,90.01523,2,0,2,1,2025,1
2025-01-02 03:00:00,28,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,8.0,72.72385,0.0,6.883333,90.01523,3,0,2,1,2025,1
2025-01-02 04:00:00,29,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,7.65,77.96166,0.0,6.883333,90.01523,4,0,2,1,2025,1
2025-01-02 05:00:00,30,H03,0,0.0,6.0,0.4,84,750,252,0,1,HF,7.8,77.71223,0.0,6.883333,90.01523,5,0,2,1,2025,1
2025-01-02 06:00:00,31,H03,0,35.879999999978466,6.0,0.4,84,750,252,0,1,HF,7.95,76.118004,0.0,6.883333,90.01523,6,0,2,1,2025,1
2025-01-02 07:00:00,32,H03,0,117.6300000000192,6.0,0.4,84,750,252,0,1,HF,8.2,76.96362,0.0,6.883333,90.01523,7,0,2,1,2025,1
2025-01-02 08:00:00,33,H03,0,102.45,6.0,0.4,84,750,252,0,1,HF,7.85,86.878845,0.0,6.883333,90.01523,8,0,2,1,2025,1
