date,is_weekend,is_open,type_frequentation,jf,id_attraction,capacite salle,capacite file d'attente,capacite pre-salle,duree,cycle_attraction_max,duty_cycle_max,visitor_count,ec_value,temperature,humidite,rayonnement_solaire,temp_max,temp_min,temp_moy,humidite_max,humidite_min,humidite_moy,hour,min,day,month,year,week,id
2025-01-01 00:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,2.2999999999883585,1.8,94.08705,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,0,0,1,1,2025,1,1
2025-01-01 01:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,1.65,93.40438,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,1,0,1,1,2025,1,2
2025-01-01 02:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,2.05,93.42521,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,2,0,1,1,2025,1,3
2025-01-01 03:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,9.440000000005238,1.85,94.428314,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,3,0,1,1,2025,1,4
2025-01-01 04:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,3.680000000007567,1.6,93.73918,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,4,0,1,1,2025,1,5
2025-01-01 05:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,3.8299999999871934,0.75,95.41132,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,5,0,1,1,2025,1,6
2025-01-01 06:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,44.97000000001572,0.25,96.439,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,6,0,1,1,2025,1,7
2025-01-01 07:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,165.670000000007,0.2,97.1409,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,7,0,1,1,2025,1,8
2025-01-01 08:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,0.0,149.23999999997903,-0.15,98.916115,0.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,8,0,1,1,2025,1,9
2025-01-01 09:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,211.0,133.54000000000525,-0.05,97.84442,1.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,9,0,1,1,2025,1,10
2025-01-01 10:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,516.0,117.76999999999536,0.9,94.386,38.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,10,0,1,1,2025,1,11
2025-01-01 11:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,496.0,105.26000000000349,2.7,87.29953,123.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,11,0,1,1,2025,1,12
2025-01-01 12:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,471.0,91.43000000000468,4.55,81.169876,258.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,12,0,1,1,2025,1,13
2025-01-01 13:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,508.0,59.05999999999185,6.0,76.33169,326.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,13,0,1,1,2025,1,14
2025-01-01 14:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,492.0,22.68000000001921,5.8,78.78381,327.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,14,0,1,1,2025,1,15
2025-01-01 15:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,452.0,22.589999999984865,6.2,76.63707,281.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,15,0,1,1,2025,1,16
2025-01-01 16:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,459.0,31.2899999999936,5.95,79.08689,177.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,16,0,1,1,2025,1,17
2025-01-01 17:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,405.0,31.50454545456662,5.35,82.44273,62.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,17,0,1,1,2025,1,18
2025-01-01 18:00:00,0,1,HF,1,H03,84,750,252,4.0,6.0,0.4,378.0,31.485454545435708,4.85,85.66438,2.0,6.2,-0.15,3.2833335,98.916115,76.33169,87.733055,18,0,1,1,2025,1,19
