date,id_attraction,attraction_name,visitor_count,id,hour,min,week,day,month,year
2025-01-01 00:00:00.000,D02,KINEKID,0,1,0,0,1,1,1,2025
2025-01-01 01:00:00.000,D02,KINEKID,0,17,1,0,1,1,1,2025
2025-01-01 02:00:00.000,D02,KINEKID,0,33,2,0,1,1,1,2025
2025-01-01 03:00:00.000,D02,KINEKID,0,49,3,0,1,1,1,2025
2025-01-01 04:00:00.000,D02,KINEKID,0,65,4,0,1,1,1,2025
2025-01-01 05:00:00.000,D02,KINEKID,0,81,5,0,1,1,1,2025
2025-01-01 06:00:00.000,D02,KINEKID,0,97,6,0,1,1,1,2025
2025-01-01 07:00:00.000,D02,KINEKID,0,113,7,0,1,1,1,2025
2025-01-01 08:00:00.000,D02,KINEKID,0,129,8,0,1,1,1,2025
2025-01-01 09:00:00.000,D02,KINEKID,0,145,9,0,1,1,1,2025
2025-01-01 10:00:00.000,D02,KINEKID,0,161,10,0,1,1,1,2025
2025-01-01 11:00:00.000,D02,KINEKID,0,177,11,0,1,1,1,2025
2025-01-01 12:00:00.000,D02,KINEKID,0,193,12,0,1,1,1,2025
2025-01-01 13:00:00.000,D02,KINEKID,0,209,13,0,1,1,1,2025
2025-01-01 14:00:00.000,D02,KINEKID,0,225,14,0,1,1,1,2025
2025-01-01 15:00:00.000,D02,KINEKID,0,241,15,0,1,1,1,2025
2025-01-01 16:00:00.000,D02,KINEKID,0,257,16,0,1,1,1,2025
2025-01-01 17:00:00.000,D02,KINEKID,0,273,17,0,1,1,1,2025
2025-01-01 18:00:00.000,D02,KINEKID,0,289,18,0,1,1,1,2025
2025-01-01 19:00:00.000,D02,KINEKID,0,305,19,0,1,1,1,2025
2025-01-01 20:00:00.000,D02,KINEKID,0,321,20,0,1,1,1,2025
2025-01-01 21:00:00.000,D02,KINEKID,0,337,21,0,1,1,1,2025
2025-01-01 22:00:00.000,D02,KINEKID,0,353,22,0,1,1,1,2025
2025-01-01 23:00:00.000,D02,KINEKID,0,369,23,0,1,1,1,2025
2025-01-02 00:00:00.000,D02,KINEKID,0,385,0,0,1,2,1,2025
2025-01-02 01:00:00.000,D02,KINEKID,0,401,1,0,1,2,1,2025
2025-01-02 02:00:00.000,D02,KINEKID,0,417,2,0,1,2,1,2025
2025-01-02 03:00:00.000,D02,KINEKID,0,433,3,0,1,2,1,2025
2025-01-02 04:00:00.000,D02,KINEKID,0,449,4,0,1,2,1,2025
2025-01-02 05:00:00.000,D02,KINEKID,0,465,5,0,1,2,1,2025
2025-01-02 06:00:00.000,D02,KINEKID,0,481,6,0,1,2,1,2025
2025-01-02 07:00:00.000,D02,KINEKID,0,497,7,0,1,2,1,2025
2025-01-02 08:00:00.000,D02,KINEKID,0,513,8,0,1,2,1,2025
2025-01-02 09:00:00.000,D02,KINEKID,0,529,9,0,1,2,1,2025
2025-01-02 10:00:00.000,D02,KINEKID,0,545,10,0,1,2,1,2025
2025-01-02 11:00:00.000,D02,KINEKID,0,561,11,0,1,2,1,2025
2025-01-02 12:00:00.000,D02,KINEKID,0,577,12,0,1,2,1,2025
2025-01-02 13:00:00.000,D02,KINEKID,0,593,13,0,1,2,1,2025
2025-01-02 14:00:00.000,D02,KINEKID,0,609,14,0,1,2,1,2025
2025-01-02 15:00:00.000,D02,KINEKID,0,625,15,0,1,2,1,2025
2025-01-02 16:00:00.000,D02,KINEKID,0,641,16,0,1,2,1,2025
2025-01-02 17:00:00.000,D02,KINEKID,0,657,17,0,1,2,1,2025
2025-01-02 18:00:00.000,D02,KINEKID,0,673,18,0,1,2,1,2025
2025-01-02 19:00:00.000,D02,KINEKID,0,689,19,0,1,2,1,2025
2025-01-02 20:00:00.000,D02,KINEKID,0,705,20,0,1,2,1,2025
2025-01-02 21:00:00.000,D02,KINEKID,0,721,21,0,1,2,1,2025
2025-01-02 22:00:00.000,D02,KINEKID,0,737,22,0,1,2,1,2025
2025-01-02 23:00:00.000,D02,KINEKID,0,753,23,0,1,2,1,2025
2025-01-03 00:00:00.000,D02,KINEKID,0,769,0,0,1,3,1,2025
2025-01-03 01:00:00.000,D02,KINEKID,0,785,1,0,1,3,1,2025
2025-01-03 02:00:00.000,D02,KINEKID,0,801,2,0,1,3,1,2025
2025-01-03 03:00:00.000,D02,KINEKID,0,817,3,0,1,3,1,2025
2025-01-03 04:00:00.000,D02,KINEKID,0,833,4,0,1,3,1,2025
2025-01-03 05:00:00.000,D02,KINEKID,0,849,5,0,1,3,1,2025
2025-01-03 06:00:00.000,D02,KINEKID,0,865,6,0,1,3,1,2025
2025-01-03 07:00:00.000,D02,KINEKID,0,881,7,0,1,3,1,2025
2025-01-03 08:00:00.000,D02,KINEKID,0,897,8,0,1,3,1,2025
2025-01-03 09:00:00.000,D02,KINEKID,0,913,9,0,1,3,1,2025
2025-01-03 10:00:00.000,D02,KINEKID,0,929,10,0,1,3,1,2025
2025-01-03 11:00:00.000,D02,KINEKID,0,945,11,0,1,3,1,2025
2025-01-03 12:00:00.000,D02,KINEKID,0,961,12,0,1,3,1,2025
2025-01-03 13:00:00.000,D02,KINEKID,0,977,13,0,1,3,1,2025
2025-01-03 14:00:00.000,D02,KINEKID,0,993,14,0,1,3,1,2025
2025-01-03 15:00:00.000,D02,KINEKID,0,1009,15,0,1,3,1,2025
2025-01-03 16:00:00.000,D02,KINEKID,0,1025,16,0,1,3,1,2025
2025-01-03 17:00:00.000,D02,KINEKID,0,1041,17,0,1,3,1,2025
2025-01-03 18:00:00.000,D02,KINEKID,0,1057,18,0,1,3,1,2025
2025-01-03 19:00:00.000,D02,KINEKID,0,1073,19,0,1,3,1,2025
2025-01-03 20:00:00.000,D02,KINEKID,0,1089,20,0,1,3,1,2025
2025-01-03 21:00:00.000,D02,KINEKID,0,1105,21,0,1,3,1,2025
2025-01-03 22:00:00.000,D02,KINEKID,0,1121,22,0,1,3,1,2025
2025-01-03 23:00:00.000,D02,KINEKID,0,1137,23,0,1,3,1,2025
2025-01-04 00:00:00.000,D02,KINEKID,0,1153,0,0,1,4,1,2025
2025-01-04 01:00:00.000,D02,KINEKID,0,1169,1,0,1,4,1,2025
2025-01-04 02:00:00.000,D02,KINEKID,0,1185,2,0,1,4,1,2025
2025-01-04 03:00:00.000,D02,KINEKID,0,1201,3,0,1,4,1,2025
2025-01-04 04:00:00.000,D02,KINEKID,0,1217,4,0,1,4,1,2025
2025-01-04 05:00:00.000,D02,KINEKID,0,1233,5,0,1,4,1,2025
2025-01-04 06:00:00.000,D02,KINEKID,0,1249,6,0,1,4,1,2025
2025-01-04 07:00:00.000,D02,KINEKID,0,1265,7,0,1,4,1,2025
2025-01-04 08:00:00.000,D02,KINEKID,0,1281,8,0,1,4,1,2025
2025-01-04 09:00:00.000,D02,KINEKID,0,1297,9,0,1,4,1,2025
2025-01-04 10:00:00.000,D02,KINEKID,0,1313,10,0,1,4,1,2025
2025-01-04 11:00:00.000,D02,KINEKID,0,1329,11,0,1,4,1,2025
2025-01-04 12:00:00.000,D02,KINEKID,0,1345,12,0,1,4,1,2025
2025-01-04 13:00:00.000,D02,KINEKID,0,1361,13,0,1,4,1,2025
