mois_nom,date,jf,nom_jour,jour,mois,annee,is_weekend,is_open,h_ouv,h_ferm,frequentation,type_frequentation
Janvier,2022-01-01,1,Saturday,1,1,2022,1,1,09:15:00,22:00:00,8020,HF
Janvier,2022-01-02,0,Sunday,2,1,2022,1,1,09:15:00,18:30:00,3410,MF
Janvier,2022-01-03,0,Monday,3,1,2022,0,0,,,0,BF
Janvier,2022-01-04,0,Tuesday,4,1,2022,0,0,,,120,BF
Janvier,2022-01-05,0,Wednesday,5,1,2022,0,0,,,100,BF
Janvier,2022-01-06,0,Thursday,6,1,2022,0,0,,,50,BF
Janvier,2022-01-07,0,Friday,7,1,2022,0,0,,,0,BF
Janvier,2022-01-08,0,Saturday,8,1,2022,1,0,,,0,BF
Janvier,2022-01-09,0,Sunday,9,1,2022,1,0,,,0,BF
Janvier,2022-01-10,0,Monday,10,1,2022,0,0,,,0,BF
Janvier,2022-01-11,0,Tuesday,11,1,2022,0,0,,,0,BF
Janvier,2022-01-12,0,Wednesday,12,1,2022,0,0,,,100,BF
Janvier,2022-01-13,0,Thursday,13,1,2022,0,0,,,80,BF
Janvier,2022-01-14,0,Friday,14,1,2022,0,0,,,0,BF
Janvier,2022-01-15,0,Saturday,15,1,2022,1,0,,,0,BF
Janvier,2022-01-16,0,Sunday,16,1,2022,1,0,,,0,BF
Janvier,2022-01-17,0,Monday,17,1,2022,0,0,,,0,BF
Janvier,2022-01-18,0,Tuesday,18,1,2022,0,0,,,0,BF
Janvier,2022-01-19,0,Wednesday,19,1,2022,0,0,,,0,BF
Janvier,2022-01-20,0,Thursday,20,1,2022,0,0,,,0,BF
Janvier,2022-01-21,0,Friday,21,1,2022,0,0,,,0,BF
Janvier,2022-01-22,0,Saturday,22,1,2022,1,0,,,200,BF
Janvier,2022-01-23,0,Sunday,23,1,2022,1,0,,,150,BF
Janvier,2022-01-24,0,Monday,24,1,2022,0,0,,,0,BF
Janvier,2022-01-25,0,Tuesday,25,1,2022,0,0,,,0,BF
Janvier,2022-01-26,0,Wednesday,26,1,2022,0,0,,,0,BF
Janvier,2022-01-27,0,Thursday,27,1,2022,0,0,,,45,BF
Janvier,2022-01-28,0,Friday,28,1,2022,0,0,,,0,BF
Janvier,2022-01-29,0,Saturday,29,1,2022,1,0,,,0,BF
Janvier,2022-01-30,0,Sunday,30,1,2022,1,0,,,0,BF
Janvier,2022-01-31,0,Monday,31,1,2022,0,0,,,0,BF
Fevrier,2022-02-01,0,Tuesday,1,2,2022,0,0,,,0,BF
Fevrier,2022-02-02,0,Wednesday,2,2,2022,0,0,,,0,BF
Fevrier,2022-02-03,0,Thursday,3,2,2022,0,0,,,110,BF
Fevrier,2022-02-04,0,Friday,4,2,2022,0,0,,,0,BF
Fevrier,2022-02-05,0,Saturday,5,2,2022,1,1,10:00:00,21:30:00,4255,MF
Fevrier,2022-02-06,0,Sunday,6,2,2022,1,1,10:00:00,21:30:00,3450,MF
Fevrier,2022-02-07,0,Monday,7,2,2022,0,1,10:00:00,21:30:00,2410,BF
Fevrier,2022-02-08,0,Tuesday,8,2,2022,0,1,10:00:00,21:30:00,4097,MF
Fevrier,2022-02-09,0,Wednesday,9,2,2022,0,1,10:00:00,21:30:00,3320,MF
Fevrier,2022-02-10,0,Thursday,10,2,2022,0,1,10:00:00,21:30:00,3290,MF
Fevrier,2022-02-11,0,Friday,11,2,2022,0,1,10:00:00,21:30:00,3330,MF
Fevrier,2022-02-12,0,Saturday,12,2,2022,1,1,10:00:00,21:30:00,6620,HF
Fevrier,2022-02-13,0,Sunday,13,2,2022,1,1,10:00:00,21:30:00,6240,HF
Fevrier,2022-02-14,0,Monday,14,2,2022,0,1,10:00:00,21:30:00,5030,MF
Fevrier,2022-02-15,0,Tuesday,15,2,2022,0,1,10:00:00,21:30:00,6140,HF
Fevrier,2022-02-16,0,Wednesday,16,2,2022,0,1,10:00:00,21:30:00,6220,HF
Fevrier,2022-02-17,0,Thursday,17,2,2022,0,1,10:00:00,21:30:00,5930,MF
Fevrier,2022-02-18,0,Friday,18,2,2022,0,1,10:00:00,21:30:00,5770,MF
Fevrier,2022-02-19,0,Saturday,19,2,2022,1,1,10:00:00,21:30:00,7520,HF
Fevrier,2022-02-20,0,Sunday,20,2,2022,1,1,10:00:00,21:30:00,5630,MF
Fevrier,2022-02-21,0,Monday,21,2,2022,0,1,10:00:00,21:30:00,5425,MF
Fevrier,2022-02-22,0,Tuesday,22,2,2022,0,1,10:00:00,21:30:00,6560,HF
Fevrier,2022-02-23,0,Wednesday,23,2,2022,0,1,10:00:00,21:30:00,5873,MF
Fevrier,2022-02-24,0,Thursday,24,2,2022,0,1,10:00:00,21:30:00,5790,MF
Fevrier,2022-02-25,0,Friday,25,2,2022,0,1,10:00:00,21:30:00,4720,MF
Fevrier,2022-02-26,0,Saturday,26,2,2022,1,1,10:00:00,21:30:00,6840,HF
Fevrier,2022-02-27,0,Sunday,27,2,2022,1,1,10:00:00,21:30:00,4840,MF
Fevrier,2022-02-28,0,Monday,28,2,2022,0,1,10:00:00,21:30:00,3610,MF
Mars,2022-03-01,0,Tuesday,1,3,2022,0,1,10:00:00,21:30:00,4380,MF
Mars,2022-03-02,0,Wednesday,2,3,2022,0,1,10:00:00,21:30:00,4370,MF
Mars,2022-03-03,0,Thursday,3,3,2022,0,1,10:00:00,21:30:00,4037,MF
Mars,2022-03-04,0,Friday,4,3,2022,0,1,10:00:00,21:30:00,3840,MF
Mars,2022-03-05,0,Saturday,5,3,2022,1,1,10:00:00,21:30:00,5690,MF
Mars,2022-03-06,0,Sunday,6,3,2022,1,1,10:00:00,21:30:00,2860,MF
Mars,2022-03-07,0,Monday,7,3,2022,0,1,10:00:00,21:00:00,860,BF
Mars,2022-03-08,0,Tuesday,8,3,2022,0,1,10:00:00,21:00:00,870,BF
Mars,2022-03-09,0,Wednesday,9,3,2022,0,1,10:00:00,21:00:00,1080,BF
Mars,2022-03-10,0,Thursday,10,3,2022,0,1,10:00:00,21:00:00,920,BF
Mars,2022-03-11,0,Friday,11,3,2022,0,1,10:00:00,21:00:00,1520,BF
Mars,2022-03-12,0,Saturday,12,3,2022,1,1,09:45:00,22:00:00,7320,HF
Mars,2022-03-13,0,Sunday,13,3,2022,1,1,09:45:00,21:00:00,4850,MF
Mars,2022-03-14,0,Monday,14,3,2022,0,1,10:00:00,21:00:00,1280,BF
Mars,2022-03-15,0,Tuesday,15,3,2022,0,1,10:00:00,21:00:00,1160,BF
Mars,2022-03-16,0,Wednesday,16,3,2022,0,1,10:00:00,21:00:00,880,BF
Mars,2022-03-17,0,Thursday,17,3,2022,0,1,10:00:00,21:00:00,805,BF
Mars,2022-03-18,0,Friday,18,3,2022,0,1,10:00:00,21:00:00,1579,BF
Mars,2022-03-19,0,Saturday,19,3,2022,1,1,09:45:00,22:00:00,7240,HF
Mars,2022-03-20,0,Sunday,20,3,2022,1,1,09:45:00,21:00:00,4460,MF
Mars,2022-03-21,0,Monday,21,3,2022,0,1,10:00:00,21:00:00,865,BF
Mars,2022-03-22,0,Tuesday,22,3,2022,0,1,10:00:00,21:00:00,1145,BF
Mars,2022-03-23,0,Wednesday,23,3,2022,0,1,10:00:00,21:00:00,1070,BF
Mars,2022-03-24,0,Thursday,24,3,2022,0,1,10:00:00,21:00:00,1460,BF
Mars,2022-03-25,0,Friday,25,3,2022,0,1,10:00:00,21:00:00,1790,BF
Mars,2022-03-26,0,Saturday,26,3,2022,1,1,09:45:00,22:00:00,8620,HF
Mars,2022-03-27,0,Sunday,27,3,2022,1,1,09:45:00,21:30:00,6890,HF
Mars,2022-03-28,0,Monday,28,3,2022,0,1,10:00:00,21:30:00,1155,BF
Mars,2022-03-29,0,Tuesday,29,3,2022,0,1,10:00:00,21:30:00,2003,BF
Mars,2022-03-30,0,Wednesday,30,3,2022,0,1,10:00:00,21:30:00,1260,BF
Mars,2022-03-31,0,Thursday,31,3,2022,0,1,10:00:00,21:30:00,2040,BF
Avril,2022-04-01,0,Friday,1,4,2022,0,1,10:00:00,21:30:00,2480,BF
Avril,2022-04-02,0,Saturday,2,4,2022,1,1,09:45:00,22:00:00,8740,HF
Avril,2022-04-03,0,Sunday,3,4,2022,1,1,09:45:00,21:30:00,6320,HF
Avril,2022-04-04,0,Monday,4,4,2022,0,1,10:00:00,21:45:00,2430,BF
Avril,2022-04-05,0,Tuesday,5,4,2022,0,1,10:00:00,21:45:00,2860,MF
Avril,2022-04-06,0,Wednesday,6,4,2022,0,1,10:00:00,21:45:00,2530,MF
Avril,2022-04-07,0,Thursday,7,4,2022,0,1,10:00:00,21:45:00,2952,MF
Avril,2022-04-08,0,Friday,8,4,2022,0,1,10:00:00,21:45:00,3347,MF
Avril,2022-04-09,0,Saturday,9,4,2022,1,1,09:30:00,22:30:00,5900,MF
Avril,2022-04-10,0,Sunday,10,4,2022,1,1,09:30:00,22:30:00,5490,MF
Avril,2022-04-11,0,Monday,11,4,2022,0,1,09:30:00,22:30:00,5360,MF
Avril,2022-04-12,0,Tuesday,12,4,2022,0,1,09:30:00,22:30:00,7470,HF
Avril,2022-04-13,0,Wednesday,13,4,2022,0,1,09:30:00,22:30:00,6900,HF
Avril,2022-04-14,0,Thursday,14,4,2022,0,1,09:30:00,22:30:00,8370,HF
Avril,2022-04-15,0,Friday,15,4,2022,0,1,09:30:00,22:30:00,7120,HF
Avril,2022-04-16,1,Saturday,16,4,2022,1,1,09:30:00,22:30:00,11660,HF
Avril,2022-04-17,1,Sunday,17,4,2022,1,1,09:30:00,22:30:00,13630,THF
Avril,2022-04-18,1,Monday,18,4,2022,0,1,09:30:00,22:30:00,9790,HF
Avril,2022-04-19,0,Tuesday,19,4,2022,0,1,09:30:00,22:30:00,11240,HF
Avril,2022-04-20,0,Wednesday,20,4,2022,0,1,09:30:00,22:30:00,11850,HF
Avril,2022-04-21,0,Thursday,21,4,2022,0,1,09:30:00,22:30:00,11480,HF
Avril,2022-04-22,0,Friday,22,4,2022,0,1,09:30:00,22:30:00,7650,HF
Avril,2022-04-23,0,Saturday,23,4,2022,1,1,09:30:00,22:30:00,7410,HF
Avril,2022-04-24,0,Sunday,24,4,2022,1,1,09:30:00,22:30:00,5230,MF
Avril,2022-04-25,0,Monday,25,4,2022,0,1,09:30:00,22:30:00,7980,HF
Avril,2022-04-26,0,Tuesday,26,4,2022,0,1,09:30:00,22:30:00,11250,HF
Avril,2022-04-27,0,Wednesday,27,4,2022,0,1,09:30:00,22:30:00,9790,HF
Avril,2022-04-28,0,Thursday,28,4,2022,0,1,09:30:00,22:30:00,8768,HF
Avril,2022-04-29,0,Friday,29,4,2022,0,1,09:30:00,22:30:00,6810,HF
Avril,2022-04-30,0,Saturday,30,4,2022,1,1,09:30:00,22:30:00,7670,HF
Mai,2022-05-01,1,Sunday,1,5,2022,1,1,09:30:00,22:30:00,5140,MF
Mai,2022-05-02,0,Monday,2,5,2022,0,1,09:30:00,22:30:00,5800,MF
Mai,2022-05-03,0,Tuesday,3,5,2022,0,1,09:30:00,22:30:00,7230,HF
Mai,2022-05-04,0,Wednesday,4,5,2022,0,1,09:30:00,22:30:00,7840,HF
Mai,2022-05-05,0,Thursday,5,5,2022,0,1,09:30:00,22:30:00,6780,HF
Mai,2022-05-06,0,Friday,6,5,2022,0,1,09:30:00,22:30:00,5450,MF
Mai,2022-05-07,0,Saturday,7,5,2022,1,1,09:30:00,22:30:00,5850,MF
Mai,2022-05-08,1,Sunday,8,5,2022,1,1,09:30:00,22:30:00,3630,MF
Mai,2022-05-09,0,Monday,9,5,2022,0,1,10:00:00,22:30:00,1900,BF
Mai,2022-05-10,0,Tuesday,10,5,2022,0,1,10:00:00,22:30:00,2460,BF
Mai,2022-05-11,0,Wednesday,11,5,2022,0,1,10:00:00,22:30:00,1960,BF
Mai,2022-05-12,0,Thursday,12,5,2022,0,1,10:00:00,22:30:00,2870,MF
Mai,2022-05-13,0,Friday,13,5,2022,0,1,10:00:00,22:30:00,2720,MF
Mai,2022-05-14,0,Saturday,14,5,2022,1,1,09:45:00,23:00:00,7420,HF
Mai,2022-05-15,0,Sunday,15,5,2022,1,1,09:45:00,23:00:00,4500,MF
Mai,2022-05-16,0,Monday,16,5,2022,0,1,10:00:00,23:00:00,1880,BF
Mai,2022-05-17,0,Tuesday,17,5,2022,0,1,10:00:00,23:00:00,3200,MF
Mai,2022-05-18,0,Wednesday,18,5,2022,0,1,10:00:00,23:00:00,3280,MF
Mai,2022-05-19,0,Thursday,19,5,2022,0,1,10:00:00,23:00:00,3820,MF
Mai,2022-05-20,0,Friday,20,5,2022,0,1,10:00:00,23:00:00,3210,MF
Mai,2022-05-21,0,Saturday,21,5,2022,1,1,09:45:00,23:00:00,8350,HF
Mai,2022-05-22,0,Sunday,22,5,2022,1,1,09:45:00,23:00:00,5150,MF
Mai,2022-05-23,0,Monday,23,5,2022,0,1,10:00:00,23:00:00,2790,MF
