date,hour,mode_saison,is_open,operation,visitor_count,temperature,elec_2_pred,statut_cta,consigne_affichee,elec_2_optimise,economie_kwh,conseil_action
2026-01-01 00:00:00,0,hiver,1,0.0,0,-2.4,26.60471,OFF,OFF,21.45,5.15,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 01:00:00,1,hiver,1,0.0,0,-2.95,27.06179,OFF,OFF,21.49,5.57,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 02:00:00,2,hiver,1,0.0,0,-3.45,27.06179,OFF,OFF,21.53,5.53,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 03:00:00,3,hiver,1,0.0,0,-3.75,27.06179,OFF,OFF,21.56,5.5,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 04:00:00,4,hiver,1,0.0,0,-4.0,27.06179,OFF,OFF,21.58,5.48,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 05:00:00,5,hiver,1,0.0,0,-4.8,27.231983,OFF,OFF,21.64,5.59,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 06:00:00,6,hiver,1,0.0,0,-4.85,27.761436,OFF,OFF,21.64,6.12,[HIVER] CTA OFF: Duy trì công suất nền (Đêm/Đóng cửa)
2026-01-01 07:00:00,7,hiver,1,0.0,0,-5.1,29.120865,PRE_HEATING,18.5°C,36.94,-7.82,"[HIVER] PRE_HEATING: Tiền điều hòa đón đầu, cài 18.5°C"
2026-01-01 08:00:00,8,hiver,1,0.0,0,-6.2,34.806755,PRE_HEATING,18.5°C,34.5,0.31,"[HIVER] PRE_HEATING: Tiền điều hòa đón đầu, cài 18.5°C"
2026-01-01 09:00:00,9,hiver,1,0.5,36,-6.1,84.17154,ON,18.5°C,73.13,11.04,"[HIVER] CTA ON: Vận hành tối ưu năng lượng, cài 18.5°C"
2026-01-01 10:00:00,10,hiver,1,1.0,312,-4.5,105.96476,ON,18.5°C,98.0,7.96,"[HIVER] CTA ON: Vận hành tối ưu năng lượng, cài 18.5°C"
