Horodatage,Heure,Température extérieure (°C),Statut ouverture,Fréquentation prévue,Consommation EC prédite (kWh),Consommation EC optimisée (kWh),Consigne de température (°C),État CTA,Économie réalisée (kWh),Recommandations opérationnelles
2026-01-01 00:00:00,0,-2.4,1,0,34.65101266264082,16.58,15.0,OFF,18.07,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 01:00:00,1,-2.95,1,0,15.050859343737494,16.65,15.0,OFF,-1.6,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 02:00:00,2,-3.45,1,0,16.034336734693877,16.71,15.0,OFF,-0.68,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 03:00:00,3,-3.75,1,0,16.06,16.75,15.0,OFF,-0.69,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 04:00:00,4,-4.0,1,0,16.8625,16.78,15.0,OFF,0.08,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 05:00:00,5,-4.8,1,0,19.605106935215947,16.87,15.0,OFF,2.74,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 06:00:00,6,-4.85,1,0,18.762763049224155,16.88,15.0,OFF,1.88,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 07:00:00,7,-5.1,1,0,17.657535163011527,29.46,16.2,PRE_HEATING,-11.8,"[HIVER] PRE_HEATING : Pré-chauffage d'anticipation, consigne à 16.2°C"
2026-01-01 08:00:00,8,-6.2,1,0,93.925,113.52,17.4,PRE_HEATING,-19.6,"[HIVER] PRE_HEATING : Pré-chauffage d'anticipation, consigne à 17.4°C"
2026-01-01 09:00:00,9,-6.1,1,36,120.50743557065988,176.19,19.5,ON,-55.68,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 10:00:00,10,-4.5,1,312,130.13516284338715,130.2,19.5,ON,-0.06,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 11:00:00,11,-2.4,1,673,127.63883319173036,122.41,19.5,ON,5.23,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 12:00:00,12,-0.45,1,626,114.20929846540808,105.11,19.5,ON,9.1,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 13:00:00,13,0.85,1,411,107.82365902010764,96.63,19.5,ON,11.19,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 14:00:00,14,1.7,1,292,104.20911356556216,93.95,19.5,ON,10.26,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 15:00:00,15,1.95,1,249,48.417957704092906,39.83,19.5,ON,8.59,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 16:00:00,16,1.4,1,243,35.71808441558441,30.92,19.5,ON,4.8,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 17:00:00,17,-1.35,1,167,61.58091172039342,61.63,19.5,ON,-0.05,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 18:00:00,18,-1.75,1,102,82.76777716186253,85.85,19.5,ON,-3.08,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 19:00:00,19,-2.2,1,31,83.39027716186253,86.62,19.5,ON,-3.23,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 20:00:00,20,-2.85,1,21,33.65588203463203,36.89,19.5,ON,-3.23,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-01 21:00:00,21,-3.6,1,0,36.71022727272727,20.76,15.0,OFF,15.95,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 22:00:00,22,-4.75,1,0,21.87931818181818,17.65,15.0,OFF,4.23,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-01 23:00:00,23,-4.1,1,0,37.96166666666666,16.96,15.0,OFF,21.0,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (15.94 kWh)
2026-01-02 00:00:00,0,-3.35,1,0,41.45064935064934,4.56,15.0,OFF,36.89,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (3.79 kWh)
2026-01-02 01:00:00,1,-2.35,1,0,6.2275,4.46,15.0,OFF,1.77,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (3.79 kWh)
2026-01-02 02:00:00,2,-2.45,1,0,13.0525,4.45,15.0,OFF,8.6,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (3.79 kWh)
2026-01-02 03:00:00,3,-2.0,1,0,3.83,4.4,15.0,OFF,-0.57,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (3.79 kWh)
2026-01-02 04:00:00,4,-2.1,1,0,4.3675,4.41,15.0,OFF,-0.04,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (3.79 kWh)
2026-01-02 05:00:00,5,-2.15,1,0,6.8619047619047615,4.41,15.0,OFF,2.45,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (3.79 kWh)
2026-01-02 06:00:00,6,-2.45,1,0,15.571788482834997,4.45,15.0,OFF,11.12,[HIVER] EC OFF : Maintien hors-gel / Talon calculé (3.79 kWh)
2026-01-02 07:00:00,7,-1.85,1,0,3.9604817275747513,15.76,16.2,PRE_HEATING,-11.8,"[HIVER] PRE_HEATING : Pré-chauffage d'anticipation, consigne à 16.2°C"
2026-01-02 08:00:00,8,-1.65,1,0,96.63,116.23,17.4,PRE_HEATING,-19.6,"[HIVER] PRE_HEATING : Pré-chauffage d'anticipation, consigne à 17.4°C"
2026-01-02 09:00:00,9,-1.4,1,59,125.67652647975078,181.38,19.5,ON,-55.7,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 10:00:00,10,-1.0,1,300,130.46198102520532,133.01,19.5,ON,-2.55,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 11:00:00,11,-0.25,1,628,126.39565137354856,127.21,19.5,ON,-0.81,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 12:00:00,12,0.05,1,457,106.66985316494583,107.5,19.5,ON,-0.83,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 13:00:00,13,0.95,1,324,98.9142137196454,99.51,19.5,ON,-0.6,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 14:00:00,14,1.6,1,300,95.89184083828944,95.33,19.5,ON,0.56,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 15:00:00,15,3.15,1,386,55.430033520411925,47.62,19.5,ON,7.81,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 16:00:00,16,3.0,1,323,36.92571428571428,32.86,19.5,ON,4.07,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 17:00:00,17,1.2,1,293,64.96360587583148,64.87,19.5,ON,0.09,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
2026-01-02 18:00:00,18,-0.1,1,172,83.10777716186253,86.14,19.5,ON,-3.03,"[HIVER] EC ON : Chauffage optimisé, consigne à 19.5°C"
