Date,Hour,D22_ELEC_KEPLER_COASTER [kWh] [D22 - KEPLER / Objectif Mars],D22_ELEC_KEPLER_General batiment [kWh] [D22 - KEPLER / Objectif Mars]
2025-01-01 00:00:00.000,00:00,8.600000000093132,27.374000000068918
2025-01-01 01:00:00.000,01:00,8.559999999939464,26.961800000001677
2025-01-01 02:00:00.000,02:00,8.699999999976717,29.251500000036323
2025-01-01 03:00:00.000,03:00,8.68999999994412,27.40009999983013
2025-01-01 04:00:00.000,04:00,8.610000000079163,37.73480000011623
2025-01-01 05:00:00.000,05:00,8.889999999920837,42.34729999990668
2025-01-01 06:00:00.000,06:00,9,42.766900000139145
2025-01-01 07:00:00.000,07:00,19.380000000051226,42.49459999983665
2025-01-01 08:00:00.000,08:00,46.88999999994412,49.373900000168945
2025-01-01 09:00:00.000,09:00,107.29000000008382,56.23299999996088
2025-01-01 10:00:00.000,10:00,127.23999999987429,60.241900000022724
2025-01-01 11:00:00.000,11:00,109.89545454558578,58.837745454454456
2025-01-01 12:00:00.000,12:00,92.25454545455392,57.87005454547365
2025-01-01 13:00:00.000,13:00,122.09999999990686,59.39320000000298
2025-01-01 14:00:00.000,14:00,122.06000000010243,59.9449999999255
2025-01-01 15:00:00.000,15:00,119.09999999990687,56.97200000011362
2025-01-01 16:00:00.000,16:00,118.84000000013039,57.49399999990128
2025-01-01 17:00:00.000,17:00,121.05999999996274,59.57080000005662
2025-01-01 18:00:00.000,18:00,123.57999999988824,60.729200000036506
2025-01-01 19:00:00.000,19:00,118.98000000002794,60.57780000003986
2025-01-01 20:00:00.000,20:00,118.76000000000931,60.67239999985322
2025-01-01 21:00:00.000,21:00,102.5,55.33660000003874
2025-01-01 22:00:00.000,22:00,9.740000000037252,34.61339999996126
2025-01-01 23:00:00.000,23:00,8.679999999888242,28.173999999975784
2025-01-02 00:00:00.000,00:00,8.700000000186265,27.131999999983236
2025-01-02 01:00:00.000,01:00,8.459999999869614,26.204000000050293
2025-01-02 02:00:00.000,02:00,8.699999999953434,26.67830000007525
2025-01-02 03:00:00.000,03:00,8.700000000162982,27.540299999993294
2025-01-02 04:00:00.000,04:00,8.699999999953434,31.290999999945054
2025-01-02 05:00:00.000,05:00,8.699999999976717,32.843599999998695
2025-01-02 06:00:00.000,06:00,20.70000000006985,38.864400000078604
2025-01-02 07:00:00.000,07:00,37.210000000009316,45.00719999987632
2025-01-02 08:00:00.000,08:00,48.15,55.843400000128895
2025-01-02 09:00:00.000,09:00,120.03000000000466,56.895299999997945
2025-01-02 10:00:00.000,10:00,105.10999999986961,55.019100000057364
2025-01-02 11:00:00.000,11:00,122.53999999994413,56.4857999999309
2025-01-02 12:00:00.000,12:00,120.98000000007451,56.97080000001006
2025-01-02 13:00:00.000,13:00,122.5800000000745,56.36959999999963
2025-01-02 14:00:00.000,14:00,124.44000000003726,57.11859999988228
2025-01-02 15:00:00.000,15:00,122.85999999982305,57.562600000109526
2025-01-02 16:00:00.000,16:00,124.06000000005588,57.07119999998249
2025-01-02 17:00:00.000,17:00,117.08000000012107,55.95380000006408
2025-01-02 18:00:00.000,18:00,124.87999999998138,56.65899999993853
2025-01-02 19:00:00.000,19:00,123.1999999998603,57.007399999909104
2025-01-02 20:00:00.000,20:00,125.04000000008382,57.111400000099096
2025-01-02 21:00:00.000,21:00,107.1199999999255,56.922999999905
2025-01-02 22:00:00.000,22:00,32.580000000074506,56.328600000031294
2025-01-02 23:00:00.000,23:00,15.079999999981373,45.449600000027566
2025-01-03 00:00:00.000,00:00,8.699999999953434,40.997999999905005
2025-01-03 01:00:00.000,01:00,8.460000000079162,40.24870000008959
2025-01-03 02:00:00.000,02:00,8.699999999976717,40.455900000059046
2025-01-03 03:00:00.000,03:00,8.68999999994412,41.40499999998138
2025-01-03 04:00:00.000,04:00,8.699999999953434,41.67399999990593
2025-01-03 05:00:00.000,05:00,8.700000000186265,41.45200000011828
2025-01-03 06:00:00.000,06:00,19.869999999832363,41.508199999877256
2025-01-03 07:00:00.000,07:00,50.53000000002794,51.02430000009481
2025-01-03 08:00:00.000,08:00,41.700000000093134,56.52219999989029
2025-01-03 09:00:00.000,09:00,110.40000000004656,55.037800000142305
2025-01-03 10:00:00.000,10:00,128.37999999991155,56.21560000004247
2025-01-03 11:00:00.000,11:00,123.02454545459582,55.279118181741794
2025-01-03 12:00:00.000,12:00,123.82545454542745,55.69058181811124
2025-01-03 13:00:00.000,13:00,123.65999999996274,55.62139999996871
2025-01-03 14:00:00.000,14:00,121.64000000008383,55.969200000073755
2025-01-03 15:00:00.000,15:00,123.41999999987893,56.095200000051406
2025-01-03 16:00:00.000,16:00,114.84000000003725,57.369400000013414
2025-01-03 17:00:00.000,17:00,118.94000000003726,58.569599999999625
2025-01-03 18:00:00.000,18:00,103.95999999991618,58.73879999998026
2025-01-03 19:00:00.000,19:00,121.96000000014901,61.4651999999769
2025-01-03 20:00:00.000,20:00,120.7,61.056199999945235
2025-01-03 21:00:00.000,21:00,99.9199999999255,62.54420000007376
2025-01-03 22:00:00.000,22:00,32.300000000046566,59.50060000000522
2025-01-03 23:00:00.000,23:00,32.58000000002794,53.32379999984987
2025-01-04 00:00:00.000,00:00,10.599999999860302,52.2160000000149
2025-01-04 01:00:00.000,01:00,8.85,51.267000000062396
2025-01-04 02:00:00.000,02:00,8.910000000125729,53.706400000141
2025-01-04 03:00:00.000,03:00,8.99000000001397,52.21909999982454
2025-01-04 04:00:00.000,04:00,9,52.959500000043775
2025-01-04 05:00:00.000,05:00,8.899999999906868,53.894099999987525
2025-01-04 06:00:00.000,06:00,27.720000000088476,57.01020000013523
2025-01-04 07:00:00.000,07:00,50.48999999987427,57.93249999999534
2025-01-04 08:00:00.000,08:00,34.58999999999069,57.78749999988358
2025-01-04 09:00:00.000,09:00,111.51999999999535,55.259200000017884
2025-01-04 10:00:00.000,10:00,119.86000000005589,57.707400000025515
2025-01-04 11:00:00.000,11:00,112.24999999997671,55.26350000000093
2025-01-04 12:00:00.000,12:00,122.93999999999069,57.54160000002011
2025-01-04 13:00:00.000,13:00,105.11999999997207,58.45539999995381
2025-01-04 14:00:00.000,14:00,49.68000000007451,57.039600000064816
2025-01-04 15:00:00.000,15:00,121.67999999998138,56.70880000004545
2025-01-04 16:00:00.000,16:00,114.57999999998137,55.36219999990426
2025-01-04 17:00:00.000,17:00,123.16000000010246,55.85079999999143
2025-01-04 18:00:00.000,18:00,119.29999999995344,57.463399999961254
2025-01-04 19:00:00.000,19:00,121.64000000003725,57.46360000004061
2025-01-04 20:00:00.000,20:00,123.83999999989756,56.77339999997057
