Date,Hour,D11_ELEC_MTH_general TD Audio [kWh] [D11 - Futur l'expo (MTH)],D11_ELEC_MTH_inter general scenique [kWh] [D11 - Futur l'expo (MTH)]
2025-01-01 00:00:00.000,00:00,8.043199999998823,28.000914285712806
2025-01-01 01:00:00.000,01:00,8,28.025600000005216
2025-01-01 02:00:00.000,02:00,7.697600000008242,27.577599999995435
2025-01-01 03:00:00.000,03:00,7.193600000021979,28.019200000003913
2025-01-01 04:00:00.000,04:00,8,27.77600000000093
2025-01-01 05:00:00.000,05:00,7.8015999999945045,28.019200000003913
2025-01-01 06:00:00.000,06:00,8,27.980799999996087
2025-01-01 07:00:00.000,07:00,8.198400000005496,35.82720000001136
2025-01-01 08:00:00.000,08:00,8.604799999983515,35.366399999998976
2025-01-01 09:00:00.000,09:00,9.299200000002747,36.03200000000652
2025-01-01 10:00:00.000,10:00,9.697600000008242,35.96799999999348
2025-01-01 11:00:00.000,11:00,10,34.29120000004768
2025-01-01 12:00:00.000,12:00,9.799999999999999,32.11519999998855
2025-01-01 13:00:00.000,13:00,10.998400000005496,36.03199999995995
2025-01-01 14:00:00.000,14:00,12.991999999992549,34.96960000002291
2025-01-01 15:00:00.000,15:00,13.01119999999646,36.00640000000131
2025-01-01 16:00:00.000,16:00,12.992000000004191,35.00799999996089
2025-01-01 17:00:00.000,17:00,13.59999999998836,35.96800000006333
2025-01-01 18:00:00.000,18:00,14.412800000014249,35.00799999996089
2025-01-01 19:00:00.000,19:00,14.598399999982211,36.03200000000652
2025-01-01 20:00:00.000,20:00,13.984000000031665,34.969599999976346
2025-01-01 21:00:00.000,21:00,12.409599999990315,34.8160000000149
2025-01-01 22:00:00.000,22:00,8,27.584000000031665
2025-01-01 23:00:00.000,23:00,8.651885714303768,27.615085714267167
2025-01-02 00:00:00.000,00:00,8.042514285715463,27.994514285711503
2025-01-02 01:00:00.000,01:00,8,27.974399999994784
2025-01-02 02:00:00.000,02:00,8.694399999972665,27.635200000007174
2025-01-02 03:00:00.000,03:00,8,28.019200000003913
2025-01-02 04:00:00.000,04:00,8.198400000005496,28.78719999997411
2025-01-02 05:00:00.000,05:00,8,27.980799999996087
2025-01-02 06:00:00.000,06:00,8.81919999998063,28.03200000000652
2025-01-02 07:00:00.000,07:00,9.124654545463537,29.32712727275635
2025-01-02 08:00:00.000,08:00,8.667345454563938,35.85047272727402
2025-01-02 09:00:00.000,09:00,12,35.987199999997394
2025-01-02 10:00:00.000,10:00,13.708799999969779,34.98880000002682
2025-01-02 11:00:00.000,11:00,13.984000000037486,36.03199999992503
2025-01-02 12:00:00.000,12:00,13.10079999997979,35.39200000007404
2025-01-02 13:00:00.000,13:00,14.01600000000326,34.98239999995567
2025-01-02 14:00:00.000,14:00,14.003200000000652,36.03200000000652
2025-01-02 15:00:00.000,15:00,13.587200000009034,35.007999999984165
2025-01-02 16:00:00.000,16:00,13.401599999994506,34.96960000002291
2025-01-02 17:00:00.000,17:00,14.598400000005494,36.0064000000013
2025-01-02 18:00:00.000,18:00,16,35.00799999996089
2025-01-02 19:00:00.000,19:00,15.007999999972526,35.96800000006333
2025-01-02 20:00:00.000,20:00,14.39360000002198,35.4175999999512
2025-01-02 21:00:00.000,21:00,13.388800000003538,35.008000000030734
2025-01-02 22:00:00.000,22:00,10.015999999979977,27.392000000015834
2025-01-02 23:00:00.000,23:00,10.124800000013783,28.19108571421488
2025-01-03 00:00:00.000,00:00,10.073599999997532,27.898514285803376
2025-01-03 01:00:00.000,01:00,9.98399999999674,28.031999999901743
2025-01-03 02:00:00.000,02:00,9.811200000002282,27.468800000089686
2025-01-03 03:00:00.000,03:00,10.01600000000326,28.031999999913385
2025-01-03 04:00:00.000,04:00,9.990399999998044,27.96800000008661
2025-01-03 05:00:00.000,05:00,11.001599999982865,29.811199999973176
2025-01-03 06:00:00.000,06:00,9.990400000032968,35.9807999999728
2025-01-03 07:00:00.000,07:00,10.00959999996703,36.0192000000272
2025-01-03 08:00:00.000,08:00,11.500799999997252,35.43039999997709
2025-01-03 09:00:00.000,09:00,13.993600000039441,35.968000000028404
2025-01-03 10:00:00.000,10:00,16,35.00799999999581
2025-01-03 11:00:00.000,11:00,16,35.98719999999739
2025-01-03 12:00:00.000,12:00,15.107199999981095,34.38720000002068
2025-01-03 13:00:00.000,13:00,16,36.03199999993667
2025-01-03 14:00:00.000,14:00,13.606399999989662,35.008000000030734
2025-01-03 15:00:00.000,15:00,16,35.96799999999348
2025-01-03 16:00:00.000,16:00,14.976000000024214,35.008000000030734
2025-01-03 17:00:00.000,17:00,16,36.03199999995995
2025-01-03 18:00:00.000,18:00,15.404799999983515,34.96960000002291
2025-01-03 19:00:00.000,19:00,13.996799999999348,35.392000000015834
2025-01-03 20:00:00.000,20:00,13.606400000012945,35.62239999994635
2025-01-03 21:00:00.000,21:00,11.801599999971222,33.369600000069475
2025-01-03 22:00:00.000,22:00,6.9888000000268224,28.031999999959954
2025-01-03 23:00:00.000,23:00,8.255085714277811,27.551085714270762
2025-01-04 00:00:00.000,00:00,8.042514285712969,27.956114285710335
2025-01-04 01:00:00.000,01:00,8,27.974399999994787
2025-01-04 02:00:00.000,02:00,7.900800000003073,27.53280000000959
2025-01-04 03:00:00.000,03:00,8,27.96799999999348
2025-01-04 04:00:00.000,04:00,8.81919999998063,28.019200000003913
2025-01-04 05:00:00.000,05:00,7.180800000019372,27.980799999996087
2025-01-04 06:00:00.000,06:00,9.017599999974482,33.79200000003912
2025-01-04 07:00:00.000,07:00,7.999999999999999,36.01920000000391
2025-01-04 08:00:00.000,08:00,8.592000000021653,35.38559999999125
2025-01-04 09:00:00.000,09:00,13.001600000011967,36.012800000002606
2025-01-04 10:00:00.000,10:00,14.700799999997253,35.00799999994924
2025-01-04 11:00:00.000,11:00,16,35.96800000007497
2025-01-04 12:00:00.000,12:00,15.103999999986263,34.406399999954736
2025-01-04 13:00:00.000,13:00,16,36.03200000000652
2025-01-04 14:00:00.000,14:00,15.60319999998901,34.969599999976346
2025-01-04 15:00:00.000,15:00,15.40480000001844,36.00640000004787
2025-01-04 16:00:00.000,16:00,15.60319999998901,35.007999999984165
2025-01-04 17:00:00.000,17:00,14.976000000024214,35.00799999996089
2025-01-04 18:00:00.000,18:00,14.412799999979324,35.99360000006855
2025-01-04 19:00:00.000,19:00,11.40480000001844,34.98239999995567
2025-01-04 20:00:00.000,20:00,10.98880000000354,35.008000000030734
2025-01-04 21:00:00.000,21:00,8.991999999992549,29.40159999995958
2025-01-04 22:00:00.000,22:00,8,28.03200000000652
2025-01-04 23:00:00.000,23:00,7.40480000001844,27.551085714323982
2025-01-05 00:00:00.000,00:00,7.900799999997252,27.89851428571523
2025-01-05 01:00:00.000,01:00,8.89279999997234,28.031999999994877
2025-01-05 02:00:00.000,02:00,7.8016000000003265,27.468800000008194
2025-01-05 03:00:00.000,03:00,8,28.031999999983235
2025-01-05 04:00:00.000,04:00,8.198400000005496,28.17280000001192
2025-01-05 05:00:00.000,05:00,8,28.019200000003913
2025-01-05 06:00:00.000,06:00,8,28.799999999976716
2025-01-05 07:00:00.000,07:00,9.017599999974482,35.77599999997765
2025-01-05 08:00:00.000,08:00,8.592000000021653,35.41760000003269
2025-01-05 09:00:00.000,09:00,11.007999999989988,36.031999999971596
2025-01-05 10:00:00.000,10:00,12,35.680000000004654
2025-01-05 11:00:00.000,11:00,11.008000000013272,35.60320000001229
2025-01-05 12:00:00.000,12:00,11.184000000014203,35.08479999999982
2025-01-05 13:00:00.000,13:00,11.60319999998901,36.0064000000013
2025-01-05 14:00:00.000,14:00,10.412799999979324,35.00799999996089
2025-01-05 15:00:00.000,15:00,10.976000000024214,35.008000000030734
2025-01-05 16:00:00.000,16:00,11.008000000007451,35.96799999999348
2025-01-05 17:00:00.000,17:00,10.61119999998482,33.4335999999661
2025-01-05 18:00:00.000,18:00,7.404799999983515,27.96800000006333
2025-01-05 19:00:00.000,19:00,8,28.03199999993667
2025-01-05 20:00:00.000,20:00,8,27.392000000015834
2025-01-05 21:00:00.000,21:00,7.590400000009685,27.993599999998697
2025-01-05 22:00:00.000,22:00,8,28.006400000001303
2025-01-05 23:00:00.000,23:00,7.6681142857264994,27.16708571433888
2025-01-06 00:00:00.000,00:00,8.043885714284677,28.000914285712806
2025-01-06 01:00:00.000,01:00,8,28.025600000005216
2025-01-06 02:00:00.000,02:00,7.897600000002421,27.577599999995435
2025-01-06 03:00:00.000,03:00,7.801599999994505,27.827199999988082
2025-01-06 04:00:00.000,04:00,8.198400000005496,27.96800000001676
2025-01-06 05:00:00.000,05:00,8,28.031999999983235
2025-01-06 06:00:00.000,06:00,8,27.96800000001676
2025-01-06 07:00:00.000,07:00,8,28.031999999983235
2025-01-06 08:00:00.000,08:00,8,27.96800000001676
2025-01-06 09:00:00.000,09:00,7.897600000002422,27.532799999974667
2025-01-06 10:00:00.000,10:00,7.702399999991758,27.968000000028407
2025-01-06 11:00:00.000,11:00,8.297600000008241,28.031999999971593
2025-01-06 12:00:00.000,12:00,8,27.968000000028407
2025-01-06 13:00:00.000,13:00,7.897600000002421,27.532799999963025
2025-01-06 14:00:00.000,14:00,8,27.968000000040046
2025-01-06 15:00:00.000,15:00,8,28.031999999959954
2025-01-06 16:00:00.000,16:00,8,27.968000000040046
2025-01-06 17:00:00.000,17:00,8,28.031999999959954
2025-01-06 18:00:00.000,18:00,8,27.968000000040046
2025-01-06 19:00:00.000,19:00,8,28.031999999959954
2025-01-06 20:00:00.000,20:00,8,27.968000000040046
2025-01-06 21:00:00.000,21:00,8,27.417599999974485
2025-01-06 22:00:00.000,22:00,8.59519999998156,28.006399999978022
2025-01-06 23:00:00.000,23:00,7.814400000008755,28.191085714268098
2025-01-07 00:00:00.000,00:00,7.897600000002422,27.89851428571523
2025-01-07 01:00:00.000,01:00,8,28.03200000000652
2025-01-07 02:00:00.000,02:00,7.897600000002421,27.468799999996552
2025-01-07 03:00:00.000,03:00,7.801599999994505,28.019200000003913
2025-01-07 04:00:00.000,04:00,8,27.980799999996087
2025-01-07 05:00:00.000,05:00,7.180800000019372,28.22399999999907
2025-01-07 06:00:00.000,06:00,8,27.980799999996087
2025-01-07 07:00:00.000,07:00,7.8015999999945045,27.814400000008757
2025-01-07 08:00:00.000,08:00,8,28.185599999991243
2025-01-07 09:00:00.000,09:00,8.815999999985797,27.61600000000326
2025-01-07 10:00:00.000,10:00,9.993599999998697,27.680000000004657
2025-01-07 11:00:00.000,11:00,9.289600000018254,28.012800000002606
2025-01-07 12:00:00.000,12:00,8.991999999986728,27.987199999997394
2025-01-07 13:00:00.000,13:00,8.515199999988544,27.53280000000959
2025-01-07 14:00:00.000,14:00,8.992000000004191,27.96799999999348
2025-01-07 15:00:00.000,15:00,8,27.392000000015834
2025-01-07 16:00:00.000,16:00,8.409599999990315,27.993599999998697
2025-01-07 17:00:00.000,17:00,6.995199999993201,27.622400000016203
2025-01-07 18:00:00.000,18:00,8,28.006400000001307
2025-01-07 19:00:00.000,19:00,7.6032000000122935,27.379200000013224
2025-01-07 20:00:00.000,20:00,7.385600000014529,27.622399999969637
2025-01-07 21:00:00.000,21:00,7.603199999989011,27.968000000040046
2025-01-07 22:00:00.000,22:00,8,27.417599999974485
2025-01-07 23:00:00.000,23:00,8.6518857142888,28.165485714256228
2025-01-08 00:00:00.000,00:00,7.943314285710221,27.96251428571164
2025-01-08 01:00:00.000,01:00,8.099200000002748,27.104000000027007
2025-01-08 02:00:00.000,02:00,7.900800000003073,27.56479999999283
2025-01-08 03:00:00.000,03:00,8.81919999998063,27.77600000000093
2025-01-08 04:00:00.000,04:00,8.198399999993853,28.03200000000652
2025-01-08 05:00:00.000,05:00,8,28.019200000003913
2025-01-08 06:00:00.000,06:00,7.897600000002422,26.764800000016113
2025-01-08 07:00:00.000,07:00,8.694400000019233,28.012800000002606
2025-01-08 08:00:00.000,08:00,9.001600000011967,27.680000000004657
2025-01-08 09:00:00.000,09:00,9.014399999991292,28.031999999971593
2025-01-08 10:00:00.000,10:00,9.199999999982538,27.46880000003148
2025-01-08 11:00:00.000,11:00,9.587200000020676,27.417599999974485
2025-01-08 12:00:00.000,12:00,8.3426909091004,27.60319999998901
2025-01-08 13:00:00.000,13:00,8.946909090906212,28
2025-01-08 14:00:00.000,14:00,8.905599999974948,27.59680000001099
2025-01-08 15:00:00.000,15:00,9.01119999999646,28.00639999997802
2025-01-08 16:00:00.000,16:00,8.396800000010991,27.99360000002198
2025-01-08 17:00:00.000,17:00,7.60319999998901,27.39199999999255
2025-01-08 18:00:00.000,18:00,7.900799999997253,28.20480000001844
2025-01-08 19:00:00.000,19:00,7.922844444442307,27.70417777772527
2025-01-08 20:00:00.000,20:00,7.959919191918082,27.993858585938472
2025-01-08 21:00:00.000,21:00,7.702836363657049,27.15316363635833
2025-01-08 22:00:00.000,22:00,7.596799999999348,27.699199999961998
2025-01-08 23:00:00.000,23:00,8.007999999987078,27.760000000009313
2025-01-09 00:00:00.000,00:00,7.860363636366938,27.310545454547867
2025-01-09 01:00:00.000,01:00,7.627636363645169,27.153454545430247
2025-01-09 02:00:00.000,02:00,8,28.03200000000652
2025-01-09 03:00:00.000,03:00,8.125333333334614,28.469760000007227
2025-01-09 04:00:00.000,04:00,8.113212121230337,27.04151272726118
2025-01-09 05:00:00.000,05:00,8.044121212104976,28.426860606098884
2025-01-09 06:00:00.000,06:00,8.157575757575756,27.154230302956066
2025-01-09 07:00:00.000,07:00,7.3090909090909095,27.97323636367254
2025-01-09 08:00:00.000,08:00,9.019447154482936,27.502985365838718
2025-01-09 09:00:00.000,09:00,9.686419512180075,27.77131707320649
2025-01-09 10:00:00.000,10:00,9.555466666688638,27.50543089431892
2025-01-09 11:00:00.000,11:00,10.727619047573256,27.7180952380877
2025-01-09 12:00:00.000,12:00,9.930158730183308,27.777015873024034
2025-01-09 13:00:00.000,13:00,8.944355555569441,27.849955555537925
2025-01-09 14:00:00.000,14:00,10.900506122446648,27.891722448945657
2025-01-09 15:00:00.000,15:00,10.601770800596935,27.856954474066633
2025-01-09 16:00:00.000,16:00,10.548295625963958,28.135746606334838
2025-01-09 17:00:00.000,17:00,9.807172905526922,27.495358288824747
2025-01-09 18:00:00.000,18:00,8.853146853146855,27.344895104864626
2025-01-09 19:00:00.000,19:00,9.258100795766865,27.78699204245251
2025-01-09 20:00:00.000,20:00,9.454778325128924,27.89793103452584
2025-01-09 21:00:00.000,21:00,9.59123809522319,27.72952380954008
2025-01-09 22:00:00.000,22:00,9.284723809533954,27.79367619046242
2025-01-09 23:00:00.000,23:00,9.364581420757174,27.39640655734422
2025-01-10 00:00:00.000,00:00,9.380218579216056,27.46306010925307
2025-01-10 01:00:00.000,01:00,9.304952380947986,28.177333333381245
2025-01-10 02:00:00.000,02:00,9.310392251826856,27.584271186480674
2025-01-10 03:00:00.000,03:00,9.215198956985715,27.634682659687044
2025-01-10 04:00:00.000,04:00,9.141213986013312,27.448197668947422
2025-01-10 05:00:00.000,05:00,8.872474308297498,27.56566007902724
2025-01-10 06:00:00.000,06:00,9.07551586368992,27.726539757164787
